PK,SK,character,english,vietnamese,onyomi,kuniomi,level,
KANJI,1,猫,cat,meo,びょう,ねこ,4,
KANJI,2,犬,dog,chó,けん,いぬ,2,
KANJI,3,書,"write, draw",viết,しょ,かく,2,
KANJI,4,見,look,xem,けん,みる,2,
KANJI,5,捨,throw away,bỏ,しゃ,すてる,4,
KANJI,6,安,cheap,rẻ,あん,やすい,3,
KANJI,7,一,one,một,いち,ひとつ,2,
KANJI,8,右,right,phải,う,みぎ,3,
KANJI,9,雨,rain,cơn mưa,う,あめ,3,
KANJI,10,円,circle,vòng tròn,えん,まるい,2,
KANJI,11,下,under,dưới,か,した,2,
KANJI,12,火,fire,ngọn lửa,か,ひ,3,
KANJI,13,何,what,gì,か,なに,3,
KANJI,14,花,flower,hoa,か,はな,3,
KANJI,15,会,association,sự kết hợp,かい,あう,3,
KANJI,16,海,sea,biển,かい,うみ,3,
KANJI,17,外,outside,ngoài,がい,そと,3,
KANJI,18,学,study,học,がく,まなぶ,3,
KANJI,19,間,between,giữa,かん,あいだ,3,
KANJI,20,気,air,không khí,き,け,3,
KANJI,21,九,nine,chín,きゅう,ここのつ,3,
KANJI,22,休,closed,đóng cửa,きゅう,やすむ,3,
KANJI,23,金,gold,vàng,きん,かね,3,
KANJI,24,月,month,tháng,げつ,つき,2,
KANJI,25,犬,dog,chó,けん,いぬ,2,
KANJI,26,言,words,từ,げん,いう,3,
KANJI,27,古,old,cũ,こ,ふるい,3,
KANJI,28,五,five,năm,ご,いつつ,3,
KANJI,29,午,afternoon,buổi chiều,ご,ひる,3,
KANJI,30,後,rear,ở phía sau,ご,あと,3,
KANJI,31,語,word,từ,ご,かたる,3,
KANJI,32,口,mouth,miệng,こう,くち,2,
KANJI,33,広,wide,rộng,こう,ひろい,3,
KANJI,34,行,line,đường kẻ,こう,いく,3,
KANJI,35,校,school,trường học,こう,くらべる,3,
KANJI,36,高,high,cao,こう,たかい,3,
KANJI,37,国,country,quốc gia,こく,くに,3,
KANJI,38,今,now,hiện nay,こん,いま,3,
KANJI,39,左,left,bên trái,さ,ひだり,2,
KANJI,40,三,three,ba,さん,みっつ,2,
KANJI,41,山,mountain,núi,さん,やま,2,
KANJI,42,子,child,đứa trẻ,し,こ,2,
KANJI,43,四,four,bốn,し,よっつ,3,
KANJI,44,時,time,thời gian,じ,とき,3,
KANJI,45,七,seven,bảy,しち,ななつ,3,
KANJI,46,社,company,công ty,しゃ,やしろ,3,
KANJI,47,車,car,xe hơi,しゃ,くるま,3,
KANJI,48,手,hand,tay,しゅ,て,2,
KANJI,49,週,week,tuần,しゅう,,3,
KANJI,50,十,ten,mười,じゅう,とお,2,
KANJI,51,出,out,ngoài,しゅつ,でる,2,
KANJI,52,女,woman,đàn bà,じょ,おんな,2,
KANJI,53,小,small,bé nhỏ,しょう,ちいさい,2,
KANJI,54,上,above,bên trên,じょう,うえ,2,
KANJI,55,食,food,đồ ăn,しょく,たべる,3,
KANJI,56,人,people,mọi người,じん,ひと,2,
KANJI,57,水,water,nước,すい,みず,2,
KANJI,58,生,raw,thô,せい,いきる,3,
KANJI,59,西,west,hướng tây,せい,にし,3,
KANJI,60,青,blue,màu xanh da trời,せい,あおい,3,
KANJI,61,赤,red,màu đỏ,せき,あかい,3,
KANJI,62,千,thousand,nghìn,せん,ち,3,
KANJI,63,川,river,dòng sông,せん,かわ,3,
KANJI,64,先,destination,điểm đến,せん,さき,3,
KANJI,65,前,before,trước,ぜん,まえ,2,
KANJI,66,足,feet,bàn chân,そく,あし,2,
KANJI,67,大,large,lớn,だい,おおきい,2,
KANJI,68,男,man,người đàn ông,だん,おとこ,2,
KANJI,69,中,medium,trung bình,ちゅう,なか,3,
KANJI,70,長,long,dài,ちょう,ながい,3,
KANJI,71,天,heaven,thiên đường,てん,あめ,3,
KANJI,72,店,shop,cửa hàng,てん,みせ,3,
KANJI,73,電,electric,điện,でん,,3,
KANJI,74,土,soil,đất,ど,つち,3,
KANJI,75,東,east,phía đông,とう,ひがし,3,
KANJI,76,同,same,như nhau,どう,おなじ,3,
KANJI,77,読,reading,đọc,どく,よむ,3,
KANJI,78,南,south,phía nam,なん,みなみ,3,
KANJI,79,二,two,hai,に,ふたつ,2,
KANJI,80,日,day,ngày,にち,ひ,2,
KANJI,81,入,enter,đi vào,にゅう,はいる,2,
KANJI,82,年,year,năm,ねん,とし,2,
KANJI,83,買,buy,mua,ばい,かう,3,
KANJI,84,白,white,trắng,はく,しろい,3,
KANJI,85,八,eight,tám,はち,やっつ,3,
KANJI,86,半,half,một nửa,はん,,3,
KANJI,87,百,hundred,trăm,ひゃく,,2,
KANJI,88,父,father,bố,ふ,ちち,3,
KANJI,89,分,minutes,phút,ぶん,わける,3,
KANJI,90,聞,listen,nghe,ぶん,きく,3,
KANJI,91,母,mother,mẹ,ぼ,はは,3,
KANJI,92,北,north,phía bắc,ほく,きた,3,
KANJI,93,木,tree,cây,もく,き,3,
KANJI,94,本,book,sách,ほん,もと,2,
KANJI,95,毎,every,mọi,まい,,3,
KANJI,96,万,ten thousand,mười nghìn,まん,,3,
KANJI,97,名,given name,tên riêng,めい,な,3,
KANJI,98,目,eye,mắt,もく,め,2,
KANJI,99,友,friend,bạn bè,ゆう,とも,3,
KANJI,100,来,next,kế tiếp,らい,くる,3,
KANJI,101,立,standing,đứng,りつ,たつ,3,
KANJI,102,六,six,sáu,ろく,むっつ,3,
KANJI,103,話,story,câu chuyện,わ,はなす,3,
