ID,sentence,level,hurigana,english,vietnamese,chinese,korean,indonesian,hindi,grammar,,1,2,3,4,5,6,7,8,9,10,word1_name,word1_id,word2_name,word2_id,word3_name,word3_id,word4_name,word4_id,word5_name,word5_id,word6_name,word6_id,word7_name,word7_id,word8_name,word8_id,word9_name,word9_id,word10_name,word10_id,word11_name,word11_id,word12_name,word12_id,word13_name,word13_id,word14_name,word14_id,EntityType,length,check,
305,名前を書きます。,1,名前を書きます。,I will write my name.,Tôi sẽ viết tên.,写名字。,이름을 씁니다.,Saya akan menulis nama.,मैं नाम लिखता हूँ।,272,〜を（基本助詞）+動詞(5段),,,,,,,,,,,名前,542,を,,書き,6,ます,,,,,,,,,,,,,,,,,,,,,,Sentence,8,TRUE,
306,山は大きいです。,1,山は大きいです。,The mountain is big.,Ngọn núi thì lớn.,山很大。,산은 큽니다.,Gunungnya besar.,पहाड़ बड़ा है।,79,い形容詞＋です（肯定）,,,,,,,,,,,山,139,は,,大きい,346,です,,,,,,,,,,,,,,,,,,,,,,Sentence,8,TRUE,
307,空を見ます。,1,空を見ます。,I look at the sky.,Tôi nhìn bầu trời.,看天空。,하늘을 봅니다.,Saya melihat langit.,मैं आसमान देखता हूँ।,273,〜を（基本助詞）+動詞(上1),,,,,,,,,,,空,143,を,,見,7,ます,,,,,,,,,,,,,,,,,,,,,,Sentence,6,TRUE,
308,今日はにちようびです。,1,今日は日曜日です。,Today is Sunday.,Hôm nay là Chủ nhật.,今天是星期天。,오늘은 일요일입니다.,Hari ini hari Minggu.,आज रविवार है।,1,〜は〜です,,,,,,,,,,,今日,247,は,,にちようび,238,です,,,,,,,,,,,,,,,,,,,,,,Sentence,11,TRUE,
309,明日はげつようびではありません。,1,明日は月曜日ではありません。,Tomorrow is not Monday.,Ngày mai không phải là thứ Hai.,明天不是星期一。,내일은 월요일이 아닙니다.,Besok bukan hari Senin.,कल सोमवार नहीं है।,140,〜ではありません,,,,,,,,,,,明日,248,は,,げつようび,239,では,,あり,500,ません,,,,,,,,,,,,,,,,,,Sentence,16,TRUE,
310,この駅でおりてもいいです。,3,この駅で降りてもいいです。,You may get off at this station.,Bạn có thể xuống ở ga này.,可以在这个站下车。,이 역에서 내려도 됩니다.,Boleh turun di stasiun ini.,इस स्टेशन पर उतर सकते हैं।,274,動詞(上1)+〜てもいいです,,,,,,,,,,,この,693,駅,573,で,,おりても,638,いい,,です,,,,,,,,,,,,,,,,,,Sentence,13,TRUE,
311,道で寝ることは普通じゃありません。,7,道で寝ることは普通じゃありません。,Sleeping on the street is not normal.,Ngủ trên đường không phải là chuyện bình thường.,在路上睡觉不是正常的事。,길에서 자는 것은 보통이 아닙니다.,Tidur di jalan bukanlah hal yang wajar.,सड़क पर सोना सामान्य नहीं है।,275,（な形容詞）+じゃありません,,,,,,,,,,,道,533,で,,寝る,308,こと,,は,,普通,968,じゃ,,ありません,500,,,,,,,,,,,,,Sentence,17,TRUE,
312,部屋の中を探してみます。,7,部屋の中を探してみます。,I will try searching inside the room.,Tôi sẽ thử tìm kiếm trong phòng.,我来找找房间里面。,방 안을 찾아보겠습니다.,Saya akan mencoba mencari di dalam kamar.,मैं कमरे के अंदर ढूँढकर देखता हूँ।,276,（名詞）+じゃない,,,,,,,,,,部屋の中を探してみます。,部屋,224,の,,中,520,を,,探して,647,みます,,,,,,,,,,,,,,,,,,Sentence,12,TRUE,
313,私の夫は真面目すぎます。,7,私の夫は真面目すぎます。,My husband is too serious.,Chồng tôi quá nghiêm túc.,我丈夫太认真了。,제 남편은 너무 성실합니다.,Suami saya terlalu serius.,मेरे पति बहुत ज़्यादा गंभीर हैं।,278,動詞（５段）+てみる（試行）,,,,,,,,,,,私,5074,の,,夫は,99,真面目,1265,すぎます,,,,,,,,,,,,,,,,,,,,Sentence,12,TRUE,
314,予定通りに到着するようにして下さい。,8,予定通りに到着するようにして下さい。,Please make sure to arrive as scheduled.,Hãy đảm bảo đến đúng theo kế hoạch.,请务必按计划准时到达。,예정대로 도착할 수 있도록 해 주세요.,Pastikan tiba sesuai jadwal.,कृपया निर्धारित समय पर पहुँचने की कोशिश करें।,279,動詞（サ変）+ようにしてください,,,,,,,,,,,予定,1285,通りに,,到着する,894,ように,,して,,下さい,,,,,,,,,,,,,,,,,,Sentence,18,TRUE,
315,健康かどうかは顔を見ればわかります。,8,健康かどうかは、顔を見ればわかります。,You can tell whether someone is healthy just by looking at their face.,Chỉ cần nhìn mặt là có thể biết người đó có khỏe mạnh hay không.,看脸就能知道是否健康。,건강한지 아닌지는 얼굴을 보면 알 수 있습니다.,Kamu bisa tahu apakah seseorang sehat hanya dengan melihat wajahnya.,चेहरा देखकर पता चल जाता है कि कोई स्वस्थ है या नहीं।,280,動詞（上1）+条件（〜ば）,,,,,,,,,,,健康か,1005,どうか,,は,,顔,5749,を,,見れば,7,わかり,,ます,,,,,,,,,,,,,,Sentence,18,TRUE,
316,歴史の授業はお葬式みたいに静かでした。,8,歴史の授業は、お葬式みたいに静かでした。,The history class was as quiet as a funeral.,Buổi học lịch sử yên tĩnh như một đám tang.,历史课像葬礼一样安静。,역사 수업은 장례식처럼 조용했습니다.,Kelas sejarah itu sepi seperti pemakaman.,इतिहास की कक्षा किसी अंतिम संस्कार जैसी शांत थी।,97,名詞+みたいだ（比喩）,,,,,,,,,,,歴史の,1368,授業,703,は,,お葬式,1971,みたいに,,静か,392,でした,,,,,,,,,,,,,,,,Sentence,19,TRUE,
317,毎朝走ることにしました。,8,毎朝走ることにしました。,I decided to run every morning.,Tôi đã quyết định chạy bộ mỗi buổi sáng.,我决定每天早晨跑步。,매일 아침 달리기로 했습니다.,Saya memutuskan untuk berlari setiap pagi.,मैंने हर सुबह दौड़ने का फैसला किया।,281,動詞（5段）+ことにする（決定）,,,,,,,,,,,毎朝,5106,走る,634,こと,538,に,,しま,,した,,,,,,,,,,,,,,,,,,Sentence,12,TRUE,
318,先ほど会社を出たばかりです。,9,先ほど、会社を出たばかりです。,I just left the office a moment ago.,Tôi vừa mới rời công ty một lúc trước.,我刚刚离开公司。,조금 전에 막 회사를 나왔습니다.,Saya baru saja meninggalkan kantor tadi.,मैं अभी-अभी ऑफिस से निकला हूँ।,282,動詞（下1）+たばかり（直後）,,,,,,,,,,,先ほど,,会社,52,を,,出た,652,ばかり,,です,,,,,,,,,,,,,,,,,,Sentence,14,TRUE,
319,隣の家ではお菓子を食べてばかりいます。,9,隣の家では、お菓子を食べてばかりいます。,The people next door do nothing but eat snacks.,Nhà bên cạnh cứ ăn bánh kẹo mãi.,隔壁家的人总是在吃零食。,옆집에서는 과자만 먹고 있습니다.,Orang di rumah sebelah hanya makan camilan terus.,पड़ोस के घर में लोग बस स्नैक्स खाते रहते हैं।,283,動詞（下1）+ばかり（直後／程度）,,,,,,,,,,,隣,526,の,,家,64,では,,お菓子を,667,食べて,309,ばかり,,います,501,,,,,,,,,,,,,Sentence,19,TRUE,
320,部長は周りの目を気にして遠慮しがちです。,9,部長は周りの目を気にして、遠慮しがちです。,The manager tends to hold back because he worries about what others think.,Trưởng phòng hay ngại ngùng vì lo lắng về ánh mắt của người xung quanh.,部长顾虑周围人的眼光，往往比较保守。,부장님은 주위 시선을 신경 써서 자제하는 경향이 있습니다.,Manajer cenderung menahan diri karena khawatir dengan pandangan orang sekitar.,मैनेजर आसपास के लोगों की नज़रों की परवाह करके संकोच करते हैं।,284,動詞（サ変）+がちだ 傾向 悪い傾向,,,,,,,,,,,部長は,1445,周り,986,の,,目,155,を,,気にして,,遠慮,769,しがち,,です,,,,,,,,,,,,Sentence,20,TRUE,
321,このアプリは快適かつ多機能なので人気がある。,10,このアプリは、快適かつ多機能なので人気がある。,This app is popular because it is comfortable to use and feature-rich.,Ứng dụng này phổ biến vì tiện lợi và đa chức năng.,这款应用因舒适且功能丰富而受到欢迎。,이 앱은 편리하고 다기능이라서 인기가 있습니다.,Aplikasi ini populer karena nyaman digunakan dan kaya fitur.,यह ऐप आरामदायक और बहुउद्देशीय होने के कारण लोकप्रिय है।,285,名詞+かつ+名詞 (並列),,,,,,,,,,,この,693,アプリ,3215,は,,快適かつ,4476,多機能,,なので,,人気,933,が,,ある,,,,,,,,,,,,Sentence,22,TRUE,
322,借りたお金は返すべきだと思います。,10,借りたお金は返すべきだと思います。,I think borrowed money should be returned.,Tôi nghĩ tiền mượn thì phải trả lại.,我认为借的钱应该还。,빌린 돈은 돌려줘야 한다고 생각합니다.,Saya pikir uang yang dipinjam harus dikembalikan.,मुझे लगता है कि उधार लिया हुआ पैसा वापस करना चाहिए।,286,動詞+べき (当然),,,,,,,,,,,借りた,316,お金,535,は,,返す,1253,べきだ,,と,,思います,5736,,,,,,,,,,,,,,,Sentence,17,TRUE,
323,受験の際には必ず受験票を持参してください。,10,受験の際には、必ず受験票を持参してください。,Please make sure to bring your admission ticket when taking the exam.,Khi thi hãy nhớ mang theo phiếu dự thi.,考试时请务必携带准考证。,시험 시에는 반드시 수험표를 지참해 주세요.,Saat ujian pastikan membawa kartu ujian.,परीक्षा के समय अवश्य प्रवेश पत्र साथ लाएँ।,287,名詞+の際には (場合),,,,,,,,,,,受験の,5841,際には必ず,,受験票,5841,を,,持参して,5842,ください,,,,,,,,,,,,,,,,,,Sentence,21,TRUE,
324,妹は新しい靴を欲しがっています。,10,妹は新しい靴を欲しがっています。,My younger sister wants new shoes.,Em gái tôi muốn có đôi giày mới.,妹妹想要新鞋子。,여동생은 새 신발을 갖고 싶어 합니다.,Adik perempuan saya ingin sepatu baru.,मेरी छोटी बहन नए जूते चाहती है।,288,動詞+がって (欲望),,,,,,,,,,,妹,93,は,,新しい,355,靴を,135,欲しがって,5848,います,,,,,,,,,,,,,,,,,,Sentence,16,TRUE,
325,一円玉なら余るほど持ってます。,10,一円玉なら、余るほど持ってます。,I have one-yen coins to spare.,Tôi có rất nhiều đồng xu 1 yên đến mức dư thừa.,一日元硬币的话，我多得用不完。,1엔짜리 동전이라면 남을 만큼 가지고 있습니다.,Kalau koin satu yen saya punya sampai berlebih.,एक येन के सिक्के तो मेरे पास ज़रूरत से ज़्यादा हैं।,289,動詞+る程 (程度),,,,,,,,,,,一円玉,,なら,,余る,338,ほど,,持って,730,ます,,,,,,,,,,,,,,,,,,Sentence,15,TRUE,
326,日本人でさえ知らない漢字があります。,10,日本人でさえ知らない漢字があります。,There are kanji that even Japanese people don't know.,Có những chữ Hán mà ngay cả người Nhật cũng không biết.,有些汉字连日本人都不知道。,일본인조차 모르는 한자가 있습니다.,Ada kanji yang bahkan orang Jepang pun tidak tahu.,कुछ कांजी ऐसे हैं जो जापानी लोग भी नहीं जानते।,290,名詞+でさえ (難しさの程度),,,,,,,,,,,日本人,5098,でさえ,,知らない,618,漢字が,682,あり,500,ます,,,,,,,,,,,,,,,,,,Sentence,18,TRUE,
327,人によって考え方は様々です。,11,人によって、考え方はさまざまです。,Ways of thinking vary from person to person.,Tùy theo mỗi người mà cách suy nghĩ cũng khác nhau.,因人而异，思维方式各有不同。,사람에 따라 생각하는 방식은 다양합니다.,Cara berpikir orang berbeda-beda.,लोगों के अनुसार सोचने का तरीका अलग-अलग होता है।,291,名詞+によって (個々への依存),,,,,,,,,,,人,511,によって,,考え方,,は,,様々,3710,です,,,,,,,,,,,,,,,,,,Sentence,14,TRUE,
328,家を建てるにあたり最近の流行を詳しく調査した。,11,家を建てるにあたり、最近の流行を詳しく調査した。,In building a house I thoroughly researched the latest trends.,Khi xây nhà tôi đã nghiên cứu kỹ lưỡng về xu hướng gần đây.,在建房子时，详细调查了最近的流行趋势。,집을 짓는 데 있어서 최근 유행을 자세히 조사했습니다.,Dalam membangun rumah saya meneliti tren terkini secara menyeluruh.,घर बनाने के लिए हाल के चलन का विस्तृत अध्ययन किया।,292,動詞+るにあたり (事前準備),,,,,,,,,,,家,64,を,,建てる,5844,にあたり,,最近の,824,流行,1228,を,,詳しく,2782,調査した,1293,,,,,,,,,,,Sentence,23,TRUE,
329,私の代わりに先輩が出勤してくれました。,11,私の代わりに、先輩が出勤してくれました。,My senior colleague went to work in my place.,Tiền bối đã đi làm thay cho tôi.,前辈代替我去上班了。,제 대신 선배님이 출근해 주었습니다.,Senior saya masuk kerja menggantikan saya.,मेरी जगह सीनियर ने काम पर जाने की मेहरबानी की।,293,名詞+の代わりに (代替),,,,,,,,,,,私の,5074,代わりに,,先輩,2581,が,,出勤,5849,して,329,くれ,3817,ました,,,,,,,,,,,,,,Sentence,19,TRUE,
330,一人ではこんなにたくさんの料理を食べ切れません。,11,一人ではこんなにたくさんの料理を食べ切れません。,I cannot finish this much food by myself.,Một mình tôi không thể ăn hết nhiều món ăn như thế này.,一个人吃不完这么多菜。,혼자서는 이렇게 많은 요리를 다 먹을 수 없습니다.,Saya tidak bisa menghabiskan makanan sebanyak ini sendirian.,अकेले इतना खाना खत्म नहीं कर सकता।,294,動詞+切る (終わらせる),,,,,,,,,,,一人,,では,,こんなに,,たくさんの,342,料理,159,を,,食べ,309,切れ,,ません,,,,,,,,,,,,Sentence,24,TRUE,
331,これは外国人向けに作られた教材です。,11,これは、外国人向けに作られた教材です。,This is a teaching material made for foreigners.,Đây là tài liệu giáo dục được tạo ra dành cho người nước ngoài.,这是为外国人制作的教材。,이것은 외국인을 위해 만들어진 교재입니다.,Ini adalah materi pembelajaran yang dibuat untuk orang asing.,यह विदेशियों के लिए बनाई गई शिक्षण सामग्री है।,295,名詞+向けに (対象),,,,,,,,,,,これ,695,は,,外国人,2402,向け,,に,,作られた,299,教材,2802,です,,,,,,,,,,,,,,Sentence,18,TRUE,
332,先生に相談したところ解決方法を教えてくれました。,12,先生に相談したところ、解決方法を教えてくれました。,When I consulted the teacher he told me how to solve the problem.,Khi tôi hỏi ý kiến thầy giáo thầy đã chỉ cho tôi cách giải quyết.,咨询了老师之后，老师告诉了我解决方法。,선생님께 상담했더니 해결 방법을 알려 주셨습니다.,Ketika saya berkonsultasi dengan guru beliau memberi tahu cara penyelesaiannya.,जब मैंने शिक्षक से सलाह ली तो उन्होंने समाधान बताया।,296,動詞+たところ (結果),,,,,,,,,,,先生,29,に,,相談した,1201,ところ,534,解決方法,,を,,教えて,315,くれ,,ました,,,,,,,,,,,,Sentence,24,TRUE,
333,昨日は一歩も歩けないほど疲れました。,12,昨日は、一歩も歩けないほど、疲れました。,Yesterday I was so tired I couldn't walk a single step.,Hôm qua tôi mệt đến mức không thể đi được dù một bước.,昨天累到一步都走不了。,어제는 한 발짝도 걷지 못할 정도로 피곤했습니다.,Kemarin saya begitu lelah sampai tidak bisa berjalan selangkah pun.,कल मैं इतना थका था कि एक कदम भी नहीं चल सकता था।,297,動詞+ないほど (程度),,,,,,,,,,,昨日,246,は,,一歩,,も,,歩けない,635,ほど,,疲れ,654,ました,,,,,,,,,,,,,,Sentence,18,TRUE,
334,失敗する度に成功に近づけます。,12,失敗する度に、成功に近づけます。,Every time you fail you get closer to success.,Mỗi lần thất bại bạn lại tiến gần hơn đến thành công.,每次失败都让你离成功更近一步。,실패할 때마다 성공에 가까워집니다.,Setiap kali gagal kamu semakin dekat dengan keberhasilan.,हर बार असफल होने पर सफलता के करीब पहुँचते हैं।,298,動詞+する度に (繰り返し),,,,,,,,,,,失敗する,1341,度に,,成功,1024,に,,近づけ,5850,ます,,,,,,,,,,,,,,,,,,Sentence,15,TRUE,
335,この大会は年齢を問わず誰でも参加できる。,12,この大会は、年齢を問わず誰でも参加できる。,Anyone can participate in this tournament regardless of age.,Cuộc thi này ai cũng có thể tham gia bất kể tuổi tác.,这个比赛不论年龄任何人都可以参加。,이 대회는 나이를 불문하고 누구나 참가할 수 있습니다.,Kompetisi ini bisa diikuti oleh siapa saja tanpa memandang usia.,यह प्रतियोगिता बिना उम्र की सीमा के कोई भी भाग ले सकता है।,299,名詞+を問わず (関わりなく),,,,,,,,,,,この,693,大会,2721,は,,年齢を,5846,問わず,5632,誰でも,400,参加,830,できる,,,,,,,,,,,,,,Sentence,20,TRUE,
336,この国の高齢者は増えていく一方だ。,12,この国の高齢者は増えていく一方だ。,The elderly population of this country keeps increasing.,Số người cao tuổi ở đất nước này ngày càng tăng.,这个国家的老年人口只增不减。,이 나라의 고령자는 계속 증가하고 있습니다.,Jumlah lansia di negara ini terus meningkat.,इस देश में बुजुर्गों की संख्या लगातार बढ़ती जा रही है।,300,動詞+る一方だ （傾向）,,,,,,,,,,,この国,36,の,,高齢者,2243,は,,増えて,1270,いく,,一方だ,,,,,,,,,,,,,,,,Sentence,17,TRUE,
337,このドアさえあればどこでも行ける。,12,このドアさえあれば、どこでも行ける。,As long as I have this door I can go anywhere.,Chỉ cần có cánh cửa này tôi có thể đi bất cứ đâu.,只要有这扇门，就能去任何地方。,이 문만 있으면 어디든 갈 수 있습니다.,Selama ada pintu ini saya bisa pergi ke mana saja.,बस यह दरवाज़ा हो तो कहीं भी जा सकते हैं।,301,名詞+さえ〜ば （条件）,,,,,,,,,,,この,693,ドア,225,さえ,,あれば,,どこ,403,でも,598,行ける,271,,,,,,,,,,,,,,,Sentence,17,TRUE,
338,川崎さんは買い物に行ったきり戻ってきません。,13,川崎さんは、買い物に行ったきり、戻ってきません。,Mr. Kawasaki went shopping and hasn't come back since.,Anh Kawasaki đi mua sắm rồi không quay trở lại nữa.,川崎先生去购物之后就再也没有回来。,가와사키 씨는 쇼핑을 하러 간 채로 돌아오지 않습니다.,Pak Kawasaki pergi belanja dan tidak kembali lagi.,कावासाकी जी खरीदारी करने गए और तब से वापस नहीं आए।,302,動詞+たきり (状態不明),,,,,,,,,,,川崎さん,,は,,買い物,673,に,,行った,271,きり,,戻って,5852,きません,,,,,,,,,,,,,,Sentence,22,TRUE,
339,病気になってはじめて健康の大切さがわかりました。,13,病気になってはじめて、健康の大切さがわかりました。,It was only after getting sick that I understood the importance of health.,Chỉ khi bị bệnh tôi mới hiểu được tầm quan trọng của sức khỏe.,生病之后才明白了健康的重要性。,병이 나고 나서야 비로소 건강의 소중함을 알았습니다.,Setelah sakit barulah saya memahami pentingnya kesehatan.,बीमार पड़ने के बाद ही स्वास्थ्य का महत्व समझ में आया।,303,動詞+てはじめて (条件),,,,,,,,,,,病気,2151,に,,なって,,はじめて,721,健康の,1005,大切さ,711,が,,わかりました,741,,,,,,,,,,,,,Sentence,24,TRUE,
340,生徒達も子供なりに学校の事情を理解しようとしている。,13,生徒達も、子供なりに、学校の事情を理解しようとしている。,The students too are trying to understand the school's circumstances in their own childlike way.,Các học sinh cũng đang cố gắng hiểu hoàn cảnh của trường theo cách của trẻ con.,学生们也在以孩子的方式尝试理解学校的情况。,학생들도 아이 나름대로 학교 사정을 이해하려고 합니다.,Para siswa pun berusaha memahami kondisi sekolah dengan cara mereka sendiri sebagai anak-anak.,छात्र भी बच्चों के अपने तरीके से स्कूल की परिस्थितियों को समझने की कोशिश कर रहे हैं।,304,〜なりに,,,,,,,,,,,生徒達も,4481,子供,104,なりに,,学校の,65,事情,5851,を,,理解,1226,しよう,,として,,いる,,,,,,,,,,Sentence,26,TRUE,
341,完璧とは言えないまでも自分なりの答えを見つけましょう。,13,完璧とは言えないまでも、自分なりの答えを見つけましょう。,Even if it can't be called perfect let's find our own answer.,Dù không thể nói là hoàn hảo nhưng hãy tìm câu trả lời theo cách của bản thân.,虽然不能说完美，但让我们找到属于自己的答案。,완벽하다고는 할 수 없더라도 자신 나름의 답을 찾아봅시다.,Meski tidak bisa dikatakan sempurna mari temukan jawaban versi kita sendiri.,भले ही पूर्ण न कहा जा सके पर अपना उत्तर खुद ढूँढिए।,305,〜なりの,,,,,,,,,,,完璧とは,5843,言えない,293,までも,,自分,5847,なりの,,答え,819,を,,見つけ,648,ましょう,,,,,,,,,,,,Sentence,27,TRUE,
342,母は私の顔を見るなり腹を抱えて笑い出した。,14,母は、私の顔を見るなり、腹を抱えて笑い出した。,As soon as my mother saw my face she burst out laughing holding her sides.,Ngay khi nhìn thấy mặt tôi mẹ đã cười lăn ra ôm bụng.,妈妈一看到我的脸就捧腹大笑起来。,어머니는 내 얼굴을 보자마자 배를 잡고 웃기 시작했습니다.,Begitu melihat wajah saya ibu langsung tertawa terbahak-bahak.,माँ ने मेरा चेहरा देखते ही पेट पकड़ कर हँसना शुरू कर दिया।,306,〜んばかりに,,,,,,,,,,,母は,86,私,5074,の,,顔,5749,を,,見る,7,なり,,腹を抱えて,,笑い,285,出した,,,,,,,,,,Sentence,21,TRUE,
