PK,SK,name,hiragana,level,english,vietnamese,chinese,korean,indonesian,hindi,lexical_category,accent_up,accent_down,EntityType
WORD,1,猫,ねこ,2,cat,mèo,猫,고양이,kucing,बिल्ली,noun,,1,Word
WORD,2,犬,いぬ,1,dog,chó,狗,개,anjing,कुत्ता,noun,1,,Word
WORD,3,鳥,とり,1,bird,chim,鸟,새,burung,पक्षी,noun,,0,Word
WORD,4,魚,さかな,1,fish,cá,鱼,물고기,ikan,मछली,noun,,0,Word
WORD,5,馬,うま,4,horse,ngựa,马,말,kuda,घोड़ा,noun,,1,Word
WORD,6,書きます,かきます,1,to write,viết,写,쓰다,menulis,लिखना,verb5,1,3,Word
WORD,7,見ます,みます,1,to look,nhìn,看,보다,melihat,देखना,verb1up,1,2,Word
WORD,8,捨てます,すてます,4,to throw away,vứt,扔掉,버리다,membuang,फेंकना,verb1down,1,3,Word
WORD,9,一,いち,1,one,một,一,일,satu,एक,noun,1,,Word
WORD,10,二,に,1,two,hai,二,이,dua,दो,noun,,,Word
WORD,11,三,さん,1,three,ba,三,삼,tiga,तीन,noun,1,,Word
WORD,12,四,よん ,2,four,bốn,四,사,empat,चार,noun,,1,Word
WORD,13,五,ご,2,five,năm,五,오,lima,पाँच,noun,,,Word
WORD,14,六,ろく,2,six,sáu,六,육,enam,छह,noun,1,,Word
WORD,15,七,なな,2,seven,bảy,七,칠,tujuh,सात,noun,,1,Word
WORD,16,八,はち,2,eight,tám,八,팔,delapan,आठ,noun,1,,Word
WORD,17,九,きゅう,2,nine,chín,九,구,sembilan,नौ,noun,,1,Word
WORD,18,十,じゅう,1,ten,mười,十,십,sepuluh,दस,noun,,1,Word
WORD,19,十一,じゅういち,2,eleven,mười một,十一,십일,sebelas,ग्यारह,noun,1,,Word
WORD,20,十二,じゅうに,2,twelve,mười hai,十二,십이,dua belas,बारह,noun,1,,Word
WORD,21,十四,じゅうよん,2,fourteen,mười bốn,十四,십사,empat belas,चौदह,noun,1,3,Word
WORD,22,二十,にじゅう,2,twenty,hai mươi,二十,이십,dua puluh,बीस,noun,,1,Word
WORD,23,三十,さんじゅう,2,thirty,ba mươi,三十,삼십,tiga puluh,तीस,noun,,1,Word
WORD,24,三十一,さんじゅういち,3,thirty-one,ba mươi mốt,三十一,삼십일,tiga puluh satu,इकतीस,noun,,1,Word
WORD,25,百,ひゃく,1,hundred,trăm,百,백,seratus,सौ,noun,1,,Word
WORD,26,銀行員,ぎんこういん,7,bank employee,nhân viên ngân hàng,银行职员,은행원,pegawai bank,बैंक कर्मचारी,noun,1,3,Word
WORD,27,会社員,かいしゃいん,4,company employee,nhân viên công ty,公司职员,회사원,karyawan perusahaan,कंपनी का कर्मचारी,noun,1,3,Word
WORD,28,医者,いしゃ,4,doctor,bác sĩ,医生,의사,dokter,डॉक्टर,noun,1,,Word
WORD,29,先生,せんせい,1,teacher,giáo viên,老师,선생님,guru,शिक्षक,noun,1,3,Word
WORD,30,エンジニア,エンジニア,11,engineer,kỹ sư,工程师,엔지니어,insinyur,इंजीनियर,noun,1,3,Word
WORD,31,店員,てんいん,4,clerk,nhân viên bán hàng,店员,점원,pramuniaga,क्लर्क,noun,1,,Word
WORD,32,歌手,かしゅ,5,singer,ca sĩ,歌手,가수,penyanyi,गायक/गायिका,noun,,1,Word
WORD,33,警察官,けいさつかん,7,police officer,cảnh sát,警察,경찰관,petugas polisi,पुलिस अधिकारी,noun,1,3,Word
WORD,34,学生,がくせい,1,student,sinh viên,学生,학생,siswa,छात्र,noun,1,,Word
WORD,35,主婦,しゅふ,5,housewife,nội trợ,家庭主妇,주부,ibu rumah tangga,गृहिणी,noun,,1,Word
WORD,36,国,くに,2,country,quốc gia,国家,나라,negara,देश,noun,1,,Word
WORD,37,日本,にほん,1,japan,Nhật Bản,日本,일본,Jepang,जापान,noun,1,2,Word
WORD,38,韓国,かんこく,5,south korea,Hàn Quốc,韩国,한국,Korea Selatan,दक्षिण कोरिया,noun,,1,Word
WORD,39,中国,ちゅうごく,3,china,Trung Quốc,中国,중국,Tiongkok,चीन,noun,,1,Word
WORD,40,フィリピン,フィリピン,6,philippines,Philippines,菲律宾,필리핀,Filipina,फिलीपींस,noun,,1,Word
WORD,41,アメリカ,アメリカ,2,america,Mỹ,美国,미국,Amerika,अमेरिका,noun,1,,Word
WORD,42,ドイツ,ドイツ,5,germany,Đức,德国,독일,Jerman,जर्मनी,noun,,1,Word
WORD,43,イギリス,イギリス,2,england,Anh,英国,영국,Inggris,इंग्लैंड,noun,1,,Word
WORD,44,日本語,にほんご,1,japanese,tiếng Nhật,日语,일본어,bahasa Jepang,जापानी,noun,1,,Word
WORD,45,韓国語,かんこくご,5,korean,tiếng Hàn,韩语,한국어,bahasa Korea,कोरियाई भाषा,noun,1,,Word
WORD,46,中国語,ちゅうごくご,5,chinese,tiếng Trung,中文,중국어,bahasa Cina,चीनी भाषा,noun,1,,Word
WORD,47,英語,えいご,1,english,tiếng Anh,英语,영어,bahasa Inggris,अंग्रेज़ी,noun,1,,Word
WORD,48,銀行,ぎんこう,2,bank,ngân hàng,银行,은행,bank,बैंक,noun,1,,Word
WORD,49,郵便局,ゆうびんきょく,2,post office,bưu điện,邮局,우체국,kantor pos,डाकघर,noun,1,3,Word
WORD,50,薬屋,くすりや,4,pharmacy,hiệu thuốc,药店,약국,apotek,दवाख़ाना,noun,1,,Word
WORD,51,病院,びょういん,1,hospital,bệnh viện,医院,병원,rumah sakit,अस्पताल,noun,1,,Word
WORD,52,会社,かいしゃ,1,company,công ty,公司,회사,perusahaan,कंपनी,noun,1,,Word
WORD,53,スーパー,スーパー,2,supermarket,siêu thị,超市,슈퍼마켓,supermarket,सुपरमार्केट,noun,,1,Word
WORD,54,カフェ,カフェ,4,cafe,quán cà phê,咖啡馆,카페,kafe,कैफे,noun,,1,Word
