PK,SK,character,english,vietnamese,strokes,onyomi,kunyomi,level
KANJI,1,猫,cat,mèo ,11,びょう,ねこ,4
KANJI,2,犬,dog,chó,4,けん,いぬ,2
KANJI,3,書,write,viết,10,しょ,かく,2
KANJI,4,見,look,xem,7,けん,みる,2
KANJI,5,捨,throw away,bỏ,11,しゃ,すてる,4
KANJI,6,安,cheap,rẻ,6,あん,やすい,3
KANJI,7,一,one,một,1,いち,ひとつ,2
KANJI,8,右,right,phải,5,う,みぎ,3
KANJI,9,雨,rain,cơn mưa,8,う,あめ,3
KANJI,10,円,circle,vòng tròn,4,えん,まるい,2
KANJI,11,下,under,dưới,3,か,した,2
KANJI,12,火,fire,ngọn lửa,4,か,ひ,3
KANJI,13,何,what,gì,7,か,なに,3
KANJI,14,花,flower,hoa,7,か,はな,3
KANJI,15,会,association,sự kết hợp,6,かい,あう,3
KANJI,16,海,sea,biển,9,かい,うみ,3
KANJI,17,外,outside,ngoài,5,がい,そと,3
KANJI,18,学,study,học,8,がく,まなぶ,3
KANJI,19,間,between,giữa,12,かん,あいだ,3
KANJI,20,気,air,không khí,6,き,け,3
KANJI,21,九,nine,chín,2,きゅう,ここのつ,3
KANJI,22,休,closed,đóng lại,6,きゅう,やすむ,3
KANJI,23,金,gold,vàng,8,きん,かね,3
KANJI,24,月,month,tháng,4,げつ,つき,2
KANJI,25,犬,dog,chó,3,けん,いぬ,2
KANJI,26,言,words,từ,7,げん,いう,3
KANJI,27,古,old,cũ,5,こ,ふるい,3
KANJI,28,五,five,năm,4,ご,いつつ,3
KANJI,29,午,afternoon,buổi chiều,4,ご,ひる,3
KANJI,30,後,rear,ở phía sau,9,ご,あと,3
KANJI,31,語,word,từ,14,ご,かたる,3
KANJI,32,口,mouth,miệng,3,こう,くち,2
KANJI,33,広,wide,rộng,5,こう,ひろい,3
KANJI,34,行,line,đường kẻ,6,こう,いく,3
KANJI,35,校,school,trường học,10,こう,くらべる,3
KANJI,36,高,high,cao,10,こう,たかい,3
KANJI,37,国,country,quốc gia,8,こく,くに,3
KANJI,38,今,now,hiện nay,4,こん,いま,3
KANJI,39,左,left,bên trái,5,さ,ひだり,2
KANJI,40,三,three,ba,3,さん,みっつ,2
KANJI,41,山,mountain,núi,3,さん,やま,2
KANJI,42,子,child,đứa trẻ,3,し,こ,2
KANJI,43,四,four,bốn,4,し,よっつ,3
KANJI,44,時,time,thời gian,11,じ,とき,3
KANJI,45,七,seven,bảy,2,しち,ななつ,3
KANJI,46,社,company,công ty,7,しゃ,やしろ,3
KANJI,47,車,car,xe hơi,7,しゃ,くるま,3
